id,address,city,floor,price,rooms,sq,year,latitude,longitude
15953,Juraty,Gdańsk,3,849000.0,4,85.0,2009.0,50.1116206,19.8940347
15954,Władysława Jagiełły,Gdańsk,0,592590.0,4,64.69,2000.0,50.0955487,19.8983779
15955,Władysława Jagiełły,Gdańsk,5,464963.0,2,54.87,2000.0,50.0955487,19.8983779
15956,Żeglarska,Gdańsk,3,549000.0,3,67.42,2015.0,50.0809129,19.892286
15957,Władysława Jagiełły,Gdańsk,1,406348.0,2,43.91,2000.0,50.0955487,19.8983779
15958,Władysława Jagiełły,Gdańsk,0,343736.0,2,36.64,2000.0,50.0955487,19.8983779
15959,Białowieska,Gdańsk,1,559800.0,3,54.88,2000.0,50.0675007,19.9377243
15960,Białowieska,Gdańsk,2,452300.0,2,42.67,2000.0,50.0121039,19.8902776
15961,Leszczynowa,Gdańsk,3,465700.0,2,47.52,2000.0,50.08991615,19.96058244607172
15962,Leszczynowa,Gdańsk,3,646000.0,3,70.21,2000.0,50.0852974,19.9164193
15963,Zalesie,Gdańsk,2,350000.0,1,33.0,1973.0,50.0191677,19.9488458
15964,Niepołomicka,Gdańsk,3,708000.0,3,75.0,2017.0,50.0561214,19.9627049
15965,kmdr. Tadeusza Bramińskiego,Gdańsk,3,499000.0,2,44.0,2022.0,50.0089843,19.9594547
15966,Myśliwska,Gdańsk,1,764216.0,3,63.69,2023.0,50.0089843,19.9594547
15967,Bulońska,Gdańsk,2,660000.0,3,63.0,1984.0,50.0525057,19.9894841
15968,Klimatyczna 88,Gdańsk,1,489000.0,2,40.0,2023.0,50.0404808,19.9884892
15969,Grudziądzka,Gdańsk,1,699000.0,2,36.84,2021.0,50.0404808,19.9884892
15970,Dywizjonu 303 303,Gdańsk,8,799000.0,3,65.1,1980.0,50.0323636,20.0519058
15971,Kazimierza Wielkiego,Gdańsk,1,344100.0,2,36.5,2022.0,50.0830286,19.9344331
15972,Niepołomicka,Gdańsk,1,607408.0,4,73.76,2022.0,50.0323636,20.0519058
15973,marsz. Ferdynanda Focha,Gdańsk,0,930000.0,2,59.7,2010.0,49.9996536,20.028154
15974,Macieja Kamieńskiego,Gdańsk,5,449000.0,2,31.0,1980.0,49.9996536,20.028154
15975,Nowatorów,Gdańsk,3,649000.0,3,63.34,2022.0,50.0955487,19.8983779
15976,Władysława Jagiełły,Gdańsk,0,563880.0,2,46.99,2021.0,50.0782889,19.9775281
15977,Niepołomicka,Gdańsk,1,618118.0,4,73.46,2000.0,50.1023819,19.9544254
15978,Niepołomicka,Gdańsk,1,496679.0,4,63.4,2000.0,50.0405937,19.953784
15979,Niepołomicka,Gdańsk,2,443700.0,3,54.52,2000.0,50.0574115,19.9766744
15980,Niepołomicka,Gdańsk,2,378038.0,2,42.61,2000.0,50.0675007,19.9377243
15981,Niepołomicka,Gdańsk,0,341648.0,2,35.77,2000.0,50.0919132,19.9556743
15982,Jacka Malczewskiego,Gdańsk,1,1174016.0,4,82.23,2023.0,50.0665345,19.9697182
15983,Wielkopolska,Gdańsk,3,553000.0,3,56.0,2021.0,50.0955487,19.8983779
15984,Toruńska,Gdańsk,4,679000.0,2,51.0,2000.0,50.0204895,19.8979959
15985,Świętokrzyska,Gdańsk,0,561397.0,2,55.12,2000.0,50.0461167,19.9723264
15986,Świętokrzyska,Gdańsk,1,544355.0,3,52.85,2000.0,50.0935683,19.9225386
15987,Diany,Gdańsk,0,570000.0,3,56.45,2023.0,50.08780725,19.878046068078184
15988,gen. Elżbiety Zawackiej,Gdańsk,2,480000.0,4,70.98,2023.0,50.0537314,19.9205937
15989,Tadeusza Kościuszki,Gdańsk,3,580000.0,3,52.78,1930.0,50.0169109,19.9101726
15990,Kartuska 77b,Gdańsk,0,660000.0,2,51.0,1950.0,50.0461167,19.9723264
15991,Wałowa,Gdańsk,4,990000.0,2,47.0,2021.0,50.0179578,19.8790929
15992,Hoża,Gdańsk,1,385000.0,2,27.0,1967.0,50.0111679,19.9909599
15993,Pilotów,Gdańsk,2,569000.0,3,56.3,1978.0,50.0581158,19.9468751
15994,Jabłoniowa,Gdańsk,3,649800.0,3,63.3,2022.0,50.0450196,19.9567307
15995,Wielkopolska,Gdańsk,1,398900.0,2,33.25,2020.0,50.0570663,19.9181467
15996,Zielona,Gdańsk,0,899000.0,3,69.0,1910.0,50.096105,19.9162137
15997,Świętokrzyska,Gdańsk,1,518745.0,2,50.56,2000.0,50.0212208,19.977384
15998,Karola Chodkiewicza,Gdańsk,4,399000.0,2,27.0,1976.0,50.0137496,19.9659068
15999,Starowiejska,Gdańsk,0,789128.0,3,68.92,2022.0,50.0089843,19.9594547
16000,Starowiejska,Gdańsk,2,808638.0,3,78.59,2022.0,50.0087167,20.0131964
16001,Starowiejska,Gdańsk,1,803158.0,4,82.39,2022.0,49.9996536,20.028154
16002,Starogardzka,Gdańsk,2,450900.0,3,55.26,2022.0,49.9996536,20.028154
16003,Starowiejska,Gdańsk,0,530184.0,2,47.07,2023.0,50.0404808,19.9884892
16004,Siennicka,Gdańsk,0,749000.0,3,75.0,1930.0,50.0162804,20.0162254
16005,Przemyska,Gdańsk,2,727427.0,3,65.65,2000.0,50.0060091,20.0114983
16006,Przemyska,Gdańsk,0,481918.0,2,44.74,2000.0,50.0744016,19.9328565
16007,Myśliwska,Gdańsk,0,751245.0,3,62.95,2023.0,50.0054198,19.966153
16008,Kadmowa,Gdańsk,1,679600.0,3,53.55,2023.0,49.9996536,20.028154
16009,Niepołomicka,Gdańsk,2,381200.0,2,43.0,2022.0,50.0785339,19.9492403
16010,Chmielna,Gdańsk,5,815000.0,2,39.74,2018.0,50.0345715,19.9999431
16011,Obrońców Wybrzeża,Gdańsk,3,995000.0,2,55.0,2011.0,50.0404753,20.0151209
16012,Zeusa,Gdańsk,3,429000.0,2,40.5,2016.0,50.08780725,19.878046068078184
16013,Stefana Jaracza,Gdańsk,7,1199531.0,3,85.3,2000.0,50.08780725,19.878046068078184
16014,Mostek,Gdańsk,2,629109.0,2,36.79,2024.0,50.0185744,20.0552694
16015,Borkowska,Gdańsk,4,606900.0,3,51.0,2000.0,50.0595415,19.9422537
16016,Borkowska,Gdańsk,0,549120.0,2,49.92,2024.0,50.0417419,20.0621804
