id,address,city,floor,price,rooms,sq,year
215,Knyszyńska 8a,Białystok,7,607000.0,2,5588.0,2022
216,Kazimierza Pułaskiego,Białystok,3,360000.0,2,42.0,
217,Stanisława Mikołajczyka,Białystok,1,519000.0,4,6976.0,2022
218,Ukośna,Białystok,4,398664.0,2,4746.0,
219,Aleja Józefa Piłsudskiego,Białystok,3,350000.0,2,5062.0,1950
220,Towarowa,Białystok,1,306000.0,3,486.0,1980
221,św. Andrzeja Boboli,Białystok,2,480000.0,2,55.0,2009
222,Piastowska,Białystok,3,349000.0,3,48.0,1972
223,Ciepła,Białystok,6,454920.0,3,446.0,
224,Żabia,Białystok,4,339000.0,3,4258.0,1963
225,Włókiennicza,Białystok,3,725000.0,3,8254.0,
226,św. Wojciecha,Białystok,0,465000.0,4,567.0,
227,gen. Władysława Sikorskiego,Białystok,0,373000.0,2,3544.0,
228,Stołeczna,Białystok,1,360000.0,3,453.0,1967
229,Knyszyńska,Białystok,1,450000.0,2,4511.0,2022
230,Sienkiewicza,Białystok,4,399000.0,4,48.0,1970
231,Niska,Białystok,0,550000.0,3,80.0,2007
232,Żabia,Białystok,2,399000.0,3,60.0,1962
233,św. Wojciecha,Białystok,4,380000.0,3,486.0,1978
234,Ukośna,Białystok,1,452868.0,2,5806.0,
235,dr Ireny Białówny,Białystok,3,530000.0,2,5474.0,1960
236,Antoniukowska,Białystok,5,539000.0,2,615.0,2009
237,Młynowa 60,Białystok,6,739000.0,3,5847.0,2017
238,Kazimierza Pułaskiego,Białystok,2,455000.0,3,599.0,1998
239,Atłasowa,Białystok,2,435000.0,3,5009.0,2013
240,Towarowa,Białystok,3,285000.0,2,33.0,
241,Zwierzyniecka,Białystok,4,249000.0,2,30.0,
242,Józefa Ignacego Kraszewskiego,Białystok,5,449000.0,2,3541.0,2023
243,42 Pułku Piechoty,Białystok,2,429000.0,3,496.0,2022
244,Oleńki,Białystok,2,524000.0,4,6993.0,2022
245,Oleńki,Białystok,1,684000.0,4,7202.0,2022
246,Wierzbowa,Białystok,3,273000.0,2,323.0,
247,Ukośna,Białystok,2,430839.0,2,5319.0,
248,Szeroka,Białystok,3,540000.0,3,64.0,1995
249,Pułkowa,Białystok,2,410000.0,3,467.0,1978
250,Nowowarszawska,Białystok,3,499000.0,3,4871.0,2022
251,Żabia,Białystok,3,279000.0,2,315.0,
252,Zagórna,Białystok,3,469000.0,4,72.0,
253,42 Pułku Piechoty,Białystok,3,420000.0,3,4898.0,2023
254,gen. Józefa Bema,Białystok,3,379000.0,3,697.0,1980
255,Leszczynowa,Białystok,2,375000.0,3,482.0,1978
256,Podleśna,Białystok,3,299000.0,1,25.0,1963
257,Radzymińska,Białystok,2,420500.0,3,60.0,1986
258,Gabrieli Zapolskiej,Białystok,1,680000.0,3,68.0,2022
259,Ukośna,Białystok,0,399582.0,2,5058.0,
260,Ciepła,Białystok,4,530000.0,4,57.0,1974
261,Upalna,Białystok,2,369000.0,2,57.0,1984
262,Sienkiewicza,Białystok,2,499000.0,3,49.0,1950
263,Icchoka Malmeda 33,Białystok,1,430000.0,2,52.0,1960
264,Stroma,Białystok,1,419000.0,3,629.0,1982
265,Leszczynowa,Białystok,0,499000.0,2,45.0,2023
266,gen. Władysława Sikorskiego,Białystok,1,490000.0,3,4706.0,2022
267,Jurowiecka,Białystok,7,950000.0,3,6005.0,2023
268,ks. Jerzego Popiełuszki,Białystok,2,315000.0,4,5786.0,1970
269,Ukośna,Białystok,5,432640.0,2,5408.0,
270,Wysoki Stoczek,Białystok,0,669000.0,3,75.0,2019
271,Pogodna,Białystok,2,545000.0,3,6514.0,1997
272,gen. Władysława Sikorskiego,Białystok,10,310000.0,2,314.0,
273,Józefa Karola Puchalskiego,Białystok,0,414000.0,3,6116.0,
274,Kaktusowa,Białystok,0,449000.0,4,7051.0,
275,Zagumienna,Białystok,2,439000.0,3,486.0,
276,42 Pułku Piechoty,Białystok,3,440000.0,3,465.0,2016
277,Józefa Karola Puchalskiego,Białystok,0,390000.0,3,6116.0,
278,Knyszyńska,Białystok,7,447000.0,3,5475.0,
279,Walentego Lewandowskiego,Białystok,2,615000.0,3,689.0,2012
280,Scaleniowa,Białystok,6,459000.0,3,598.0,1988
281,Sienkiewicza,Białystok,3,399000.0,2,456.0,1960
282,Ukośna,Białystok,0,431816.0,2,5608.0,
283,Fabryczna,Białystok,0,435000.0,2,4837.0,
284,Sienkiewicza,Białystok,3,399000.0,2,456.0,1970
285,ks. Stanisława Andrukiewicza,Białystok,4,635000.0,2,50.0,2017
286,Grochowa,Białystok,1,380000.0,2,4761.0,1958
287,Orzechowa,Białystok,1,610000.0,4,205.0,1988
288,Nowy Świat,Białystok,0,445000.0,2,5126.0,
289,Atłasowa,Białystok,1,499000.0,4,6255.0,2015
290,Żelazna,Białystok,3,530000.0,4,716.0,1990
291,Młynowa,Białystok,4,669000.0,3,493.0,2021
292,Antoniukowska,Białystok,4,270000.0,2,413.0,
293,Plażowa,Białystok,1,510000.0,3,48.0,2020
294,Atłasowa,Białystok,2,449000.0,3,5205.0,2015
295,Towarowa,Białystok,0,370000.0,3,48.0,1979
296,Zachodnia,Białystok,0,429000.0,2,65.0,
297,Arktyczna,Białystok,2,391926.0,3,4722.0,2022
298,Komisji Edukacji Narodowej,Białystok,2,429000.0,3,453.0,2003
299,Bolesława Chrobrego,Białystok,0,295000.0,2,32.0,1980
300,Stanisława Dubois,Białystok,4,395000.0,3,62.0,1989
301,Leszczynowa,Białystok,2,464000.0,2,4587.0,
302,Piastowska,Białystok,1,380000.0,4,576.0,1970
303,Rzemieślnicza,Białystok,0,239000.0,1,225.0,2015
304,Ukośna,Białystok,3,430839.0,2,5319.0,
305,Bolesława Chrobrego,Białystok,3,524000.0,4,75.0,1997
306,Stanisława Dubois,Białystok,3,565000.0,3,5636.0,1996
307,Gruntowa,Białystok,4,245000.0,2,3444.0,1974
308,Stalowa,Białystok,7,579000.0,3,61.0,2016
309,Juliana Tuwima,Białystok,7,263777.0,1,288.0,1970
310,Ludwika Zamenhofa,Białystok,3,359000.0,2,549.0,1955
311,Sybiraków,Białystok,4,669000.0,3,6636.0,2016
312,Plażowa,Białystok,5,570000.0,3,60.0,2019
313,Kardynała Stefana Wyszyńskiego,Białystok,1,399000.0,4,581.0,1974
314,Ukośna,Białystok,2,330000.0,2,39.0,1970
315,Storczykowa,Białystok,4,409000.0,3,63.0,
316,Mieszka I I,Białystok,1,350000.0,3,494.0,
317,Transportowa,Białystok,5,589000.0,3,4788.0,2023
318,Ukośna,Białystok,3,470106.0,3,6027.0,
319,Ukośna,Białystok,5,429543.0,2,5303.0,
320,Gajowa,Białystok,0,349000.0,2,35.0,1981
321,Antoniukowska,Białystok,3,320000.0,2,37.0,
322,Porzeczkowa,Białystok,1,247500.0,2,357.0,1980
323,Stołeczna,Białystok,1,380000.0,3,45.0,1965
324,dr Ireny Białówny,Białystok,1,549000.0,2,51.0,1951
325,Pogodna,Białystok,0,575000.0,3,647.0,1995
326,Sowlańska,Białystok,3,247000.0,1,282.0,1980
327,42 Pułku Piechoty,Białystok,2,429000.0,3,4966.0,2022
328,Czarna,Białystok,3,499000.0,2,4821.0,2023
329,42 Pułku Piechoty,Białystok,3,449000.0,3,55.0,2022
330,Armii Krajowej,Białystok,4,379000.0,3,543.0,1995
331,Józefa Karola Puchalskiego,Białystok,0,585000.0,3,6129.0,201
332,Lipowa,Białystok,1,899000.0,5,80.0,1950
333,Fabryczna,Białystok,5,900000.0,3,7862.0,2019
334,Kardynała Stefana Wyszyńskiego,Białystok,3,568000.0,3,609.0,1998
335,Stanisława Bukowskiego,Białystok,0,752070.0,3,6837.0,2010
336,Stanisława Dubois,Białystok,3,559000.0,3,5636.0,1996
337,Józefa Marjańskiego,Białystok,6,829000.0,4,982.0,2004
338,Bolesława Chrobrego,Białystok,4,399000.0,3,54.0,1969
339,Jana Klemensa Branickiego,Białystok,10,335000.0,3,51.0,1971
340,Ciepła,Białystok,6,385370.0,2,433.0,2022
341,Kardynała Stefana Wyszyńskiego,Białystok,3,547000.0,3,615.0,1998
342,Lodowa,Białystok,2,300000.0,1,3689.0,2023
343,Białostocka,Białystok,2,449000.0,2,4772.0,2017
344,Lodowa,Białystok,2,484000.0,4,6457.0,2023
345,Swobodna,Białystok,1,309000.0,3,4829.0,1985
346,Bohaterów Monte Cassino,Białystok,4,349000.0,3,482.0,
347,Magnoliowa,Białystok,3,483000.0,4,721.0,
348,Jurowiecka,Białystok,10,1330000.0,4,9342.0,2023
349,Lodowa,Białystok,1,585000.0,4,7726.0,2023
350,Ciepła,Białystok,1,463680.0,3,483.0,
351,św. Wojciecha,Białystok,3,300000.0,2,33.0,
352,Warszawska,Białystok,2,418000.0,2,4187.0,2023
353,Warszawska,Białystok,4,999000.0,4,10029.0,2023
354,Lodowa,Białystok,1,492000.0,4,6465.0,2023
355,Ciepła,Białystok,6,484000.0,3,484.0,
356,Rumiankowa,Białystok,0,465000.0,4,802.0,
357,Scaleniowa,Białystok,2,420000.0,3,598.0,1980
358,Ciepła,Białystok,3,530530.0,3,583.0,
359,Marczukowska,Białystok,2,509000.0,3,5478.0,2023
360,Marczukowska,Białystok,3,519000.0,3,5628.0,2023
361,Warszawska,Białystok,1,299000.0,1,3037.0,2023
362,Marczukowska,Białystok,3,399000.0,2,4299.0,2023
363,gen. Józefa Bema,Białystok,1,535000.0,3,5952.0,2023
364,gen. Józefa Bema,Białystok,7,1299000.0,5,14915.0,2023
365,Józefa Karola Puchalskiego,Białystok,0,455000.0,3,6434.0,
366,Lodowa,Białystok,2,524000.0,4,6993.0,2022
367,Zielonogórska,Białystok,4,325000.0,3,63.0,1980
368,św. Andrzeja Boboli,Białystok,4,349000.0,2,504.0,1998
369,Ciepła,Białystok,6,481000.0,3,481.0,
370,Ciepła,Białystok,7,468300.0,3,446.0,
371,gen. Władysława Sikorskiego,Białystok,2,490000.0,2,4705.0,
372,Ogrodowa,Białystok,3,695000.0,2,4219.0,2022
373,Zagumienna,Białystok,2,298000.0,2,3729.0,2021
374,Ciepła,Białystok,3,270900.0,1,258.0,
375,Leszczynowa,Białystok,2,375000.0,3,49.0,
376,Gruntowa,Białystok,4,349000.0,3,443.0,1970
377,Atłasowa,Białystok,2,435000.0,3,5009.0,2013
378,Robotnicza,Białystok,1,639000.0,4,72.0,2021
379,Ciepła,Białystok,5,345780.0,2,339.0,
380,Żabia,Białystok,2,345000.0,2,4408.0,
381,Nowogródzka,Białystok,1,370000.0,3,45.0,1968
382,Poleska,Białystok,3,320000.0,3,48.0,1971
383,Stanisława Dubois,Białystok,3,565000.0,3,5636.0,1995
384,Ciepła,Białystok,5,450460.0,2,446.0,
385,Nowogródzka,Białystok,1,279000.0,2,353.0,1970
386,Hetmańska,Białystok,1,849000.0,4,7826.0,2017
387,Elizy Orzeszkowej,Białystok,1,420000.0,3,53.0,1963
388,Jurowiecka,Białystok,3,591426.0,3,5974.0,2022
389,Marczukowska,Białystok,3,432000.0,3,5038.0,2024
390,Walentego Lewandowskiego,Białystok,5,733000.0,4,9031.0,2023
391,gen. Władysława Sikorskiego,Białystok,1,399000.0,2,38.0,
392,Marczukowska,Białystok,3,508000.0,3,6076.0,2024
393,św. Wojciecha,Białystok,2,375000.0,4,578.0,1976
394,Knyszyńska,Białystok,6,424000.0,2,4989.0,2022
395,Modlińska,Białystok,2,550000.0,3,706.0,1995
396,Żytnia,Białystok,3,720000.0,3,78.0,2015
397,Sienkiewicza,Białystok,2,567000.0,3,64.0,1968
398,Towarowa,Białystok,3,367500.0,3,49.0,1980
399,Jurowiecka,Białystok,10,419000.0,2,3861.0,2022
